Latitude,Longitude,LocalDate,LimitingMag,SQMReading,CloudCover,Country
-35.21,139.111,2020-09-09,6,21.17,0,Australia
-38.1554,144.311,2020-09-08,2,,0,Australia
-38.1553,144.311,2020-09-07,2,,0,Australia
-38.1553,144.311,2020-09-06,2,,0,Australia
-38.1553,144.311,2020-09-05,2,,0,Australia
-33.805,151.125,2020-08-24,3,,0,Australia
-26.7615,152.862,2020-08-22,6,20.93,0,Australia
-26.7597,152.865,2020-08-22,6,20.63,0,Australia
-26.6931,153.098,2020-08-16,5,19.71,0,Australia
-28.5541,151.949,2020-08-15,6,21.45,0,Australia
-37.8743,145.033,2020-08-09,1,,0,Australia
-26.7553,152.856,2020-08-09,3,,0,Australia
-27.4698,153.025,2020-08-04,4,,0,Australia
-37.8559,144.954,2020-08-01,1,,0,Australia
-33.6874,150.988,2020-07-31,2,,0,Australia
-12.3681,130.863,2020-07-24,3,,0,Australia
-12.3684,130.863,2020-07-23,3,,0,Australia
-12.3684,130.863,2020-07-23,3,,0,Australia
-12.3684,130.863,2020-07-23,3,,0,Australia
-12.3683,130.863,2020-07-12,3,,0,Australia
-26.7586,152.854,2020-07-19,4,18.32,0,Australia
-26.755,152.855,2020-07-19,5,19.17,0,Australia
-26.8954,151.617,2020-07-19,6,21.44,0,Australia
-26.8805,151.629,2020-07-19,6,21.42,0,Australia
-26.8349,151.552,2020-07-19,6,21.42,0,Australia
-26.913,151.635,2020-07-19,6,21.48,0,Australia
-26.8574,151.64,2020-07-19,6,21.52,0,Australia
-26.7584,152.865,2020-07-18,5,,0,Australia
-26.7585,152.865,2020-07-18,6,21.07,0,Australia
-26.6344,152.686,2020-04-23,6,21.42,0,Australia
-26.7585,152.865,2020-04-22,6,21.17,0,Australia
-26.8045,152.958,2020-07-16,5,19.4,0,Australia
-26.62,153.065,2020-07-16,5,19.83,0,Australia
-26.6231,153.054,2020-07-16,4,18.45,0,Australia
-26.5997,153.003,2020-07-16,6,20.84,0,Australia
-26.617,152.974,2020-07-16,4,17.8,0,Australia
-26.6252,152.959,2020-07-16,3,17.7,0,Australia
-26.6196,152.952,2020-07-16,5,20.25,0,Australia
-26.6217,152.944,2020-07-16,6,20.45,0,Australia
-26.6192,152.924,2020-07-16,6,20.43,0,Australia
-26.6347,152.9,2020-07-16,6,20.97,0,Australia
-26.6425,152.89,2020-07-16,6,21.01,0,Australia
-26.6176,152.898,2020-07-16,6,20.98,0,Australia
-26.6244,152.87,2020-07-16,6,20.52,0,Australia
-26.6272,152.867,2020-07-16,6,20.5,0,Australia
-26.6328,152.869,2020-07-16,6,20.75,0,Australia
-26.6452,152.874,2020-07-16,6,20.9,0,Australia
-26.6466,152.875,2020-07-16,6,20.92,0,Australia
